"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date","GOOD","BAD"
0,"SO",20,1,"P",1,430.166666666667,5,1,0,1,1.24333333333333,6,145.963333333333,0.0471019316,57.4609375,1.05,0,0,"3",2.82666666666667,344,"15JUL2005","0","1"
320,"SN",20,1,"P",1,1100,5,2,0,6,3,12,345.05,0.0602993299,78.640625,2,1,0,"3",2,352,"15JUL2005","0","1"
1540,"FT",38,0,"R",1.65,3159.5,34.17,2.15,251.6,9.22,3.79,14.89,1309.49,0.0897912448,51.609375,1.67,0,162.25,"5",1.25,321,"15JUL2005","1","0"
0,"SO",18,0.72,"P",1.03,267.5,28,1,27.5483333333333,14.62,0.555,17.15,102.078571428571,0.0769873261,31.10546875,1.04,0,0,"3",2.62,329,"15JUL2005","0","1"
0,"SE",18,0,"P",1.26,400.5,23.25,1.03,50.2366666666667,8.47,0.0399999999999989,16.71,366.126666666667,0.3860725453,57.9296875,1.06,0,3.99999999999973,"5",1.47,339,"15JUL2005","1","0"
0,"SO",16,0,"P",1.02,303.75,16.1,1.17,27.48,11,0.48,16,115.88,0.0563377071,27.62109375,1.04,0,11.9399999999999,"5",2.48,327,"15JUL2005","1","0"
0,"SL",20,1,"P",1,500,3,1,6.58666666666667,12,1.23,9,84.7,0,67.9375,1.04,0,0,"3",2.27,382,"16JUL2005","1","0"
0,"SO",23,1.4,"R",1.22,548.5,17.44,1.17,37.69,11.2733333333333,1.89,22.4973333333333,245.17,0.1116264029,77.203125,1.07,0,83.13,"5",1.93,374,"16JUL2005","1","0"
0,"SO",21,2,"P",1.14,1127,19,2,24.59,4,2.74,1,394.6825,0,43.1171875,1,1,1107,"3",3,383,"16JUL2005","0","1"
0,"SM",20,2,"P",1.05,595,6,1.04,0,10,1,6,243.96,0.5524016619,55.8203125,1.12,0,33.0799999999998,"5",2.88,376,"16JUL2005","1","0"
1,"SF",20,1,"R",1.14,500,12,1,0,14.14,1.835,24.81,345.03,0.2014797474,67.796875,1,1,360,"3",0.861666666666667,378,"16JUL2005","1","0"
480,"SO",23,5,"P",1.31,200,14,2,25,14,5,12,78.54,0,81,1,2,72,"3",1.12,361,"16JUL2005","1","0"
1,"SL",21,0,"P",1.06,626.5,19,1.09,30.27,22,1,2,288.01,0,39.203125,1.03,0,6.28999999999968,"5",3.26,377,"16JUL2005","0","1"
1,"SA",23,0.92,"R",1.06,697,19.37,1.11,18.54,5.86,1.27,11.28,366.12,0,44.010234375,1.04,0,15.7499999999997,"4",2.55,368,"16JUL2005","0","1"
0,"FT",24,1.01,"R",1.15,587,22.0633333333333,1.14,74.9,6.42,1.28,11.33,471.91,0.0448961325,17.66015625,1.05,0,56.7099999999998,"5",1.69,380,"16JUL2005","1","0"
0,"SO",23,3,"P",1.44,750,11,1,9.64,18.09,19,28,61,0.0350721098,73.5625,1,1,412,"3",0,364,"16JUL2005","1","0"
1,"SM",22,4,"P",1.25,4300,7,3,0,23,5,20,712,0.0824397141,58.671875,2,3,2027,"3",0,365,"16JUL2005","1","0"
500,"SO",18,0.765,"P",1.08,700,7,1,6.28,11.46,0.94,2,126.54,0.0429544147,54.234375,1,1,2,"3",3,381,"16JUL2005","1","0"
0,"SB",19,0,"P",1.02,285.5,11.59,1.11,33.07,14,0,38,72.8466666666667,0,32.703125,1.04,0,-4.51052528660512e-13,"5",2.83,404,"19JUL2005","0","1"
800,"SB",19,1.05,"P",1.28,472,15.43,1.31,57.116,19,0,8,424.26,0.0715759185,50.1875,1,0,108.95,"5",2,408,"19JUL2005","1","0"
1,"SE",24,1.02,"R",1.1,1409.5,6,1,0,7.27,1.46,11.63,718.99,0.1049111555,44.234375,1.07,0,0,"3",2.83,411,"19JUL2005","1","0"
